docname,topic,proportion
Privacy_Rights_Cleaned.aws.csv:2412,001,0.277851
Privacy_Rights_Cleaned.aws.csv:2412,003,0.063153
Privacy_Rights_Cleaned.aws.csv:2412,004,0.049506
Privacy_Rights_Cleaned.aws.csv:2447,001,1.0
Privacy_Rights_Cleaned.aws.csv:2482,000,0.644141
Privacy_Rights_Cleaned.aws.csv:2482,001,0.187616
Privacy_Rights_Cleaned.aws.csv:2482,004,0.09273
Privacy_Rights_Cleaned.aws.csv:2482,003,0.075512
Privacy_Rights_Cleaned.aws.csv:2517,002,0.500801
Privacy_Rights_Cleaned.aws.csv:2517,000,0.499199
Privacy_Rights_Cleaned.aws.csv:2552,003,1.0
Privacy_Rights_Cleaned.aws.csv:2587,004,1.0
Privacy_Rights_Cleaned.aws.csv:2622,000,1.0
Privacy_Rights_Cleaned.aws.csv:2657,000,0.663868
Privacy_Rights_Cleaned.aws.csv:2657,001,0.226365
Privacy_Rights_Cleaned.aws.csv:2657,004,0.109768
Privacy_Rights_Cleaned.aws.csv:2692,002,1.0
Privacy_Rights_Cleaned.aws.csv:2727,001,1.0
Privacy_Rights_Cleaned.aws.csv:2762,003,1.0
Privacy_Rights_Cleaned.aws.csv:2797,004,1.0
Privacy_Rights_Cleaned.aws.csv:2832,003,1.0
Privacy_Rights_Cleaned.aws.csv:2867,000,1.0
Privacy_Rights_Cleaned.aws.csv:2902,000,1.0
Privacy_Rights_Cleaned.aws.csv:2937,004,1.0
Privacy_Rights_Cleaned.aws.csv:2972,000,1.0
Privacy_Rights_Cleaned.aws.csv:3007,001,1.0
Privacy_Rights_Cleaned.aws.csv:3042,000,0.668705
Privacy_Rights_Cleaned.aws.csv:3042,001,0.224204
Privacy_Rights_Cleaned.aws.csv:3042,003,0.055194
Privacy_Rights_Cleaned.aws.csv:3042,002,0.051896
Privacy_Rights_Cleaned.aws.csv:3077,000,0.721333
Privacy_Rights_Cleaned.aws.csv:3077,001,0.211609
Privacy_Rights_Cleaned.aws.csv:3077,003,0.067057
Privacy_Rights_Cleaned.aws.csv:3112,000,0.668571
Privacy_Rights_Cleaned.aws.csv:3112,002,0.331429
Privacy_Rights_Cleaned.aws.csv:3147,004,1.0
Privacy_Rights_Cleaned.aws.csv:3182,002,0.692829
Privacy_Rights_Cleaned.aws.csv:3182,000,0.274
Privacy_Rights_Cleaned.aws.csv:3182,003,0.03317
Privacy_Rights_Cleaned.aws.csv:3217,000,1.0
Privacy_Rights_Cleaned.aws.csv:3252,000,1.0
Privacy_Rights_Cleaned.aws.csv:3287,001,1.0
Privacy_Rights_Cleaned.aws.csv:3322,000,1.0
Privacy_Rights_Cleaned.aws.csv:3357,000,0.73237
Privacy_Rights_Cleaned.aws.csv:3357,001,0.26763
Privacy_Rights_Cleaned.aws.csv:3392,000,1.0
